       WC_TA        RE_TA      EBIT_TA     MVE_BVTD         S_TA
     0.04900      0.22000      0.04100      2.40000      0.48900
     0.14500      0.24000      0.05100      1.51400      0.28000
     0.17000      0.17700      0.05600      1.68500      0.45500
     0.16400      0.28900      0.06400      1.02900      0.22200
     0.07800      0.06600      0.04400      0.41700      0.14700
     0.16000      0.37100      0.06000      2.65300      0.44500
     0.22400      0.38400      0.06500      1.78900      0.28300
     0.27300      0.21300      0.06200      0.42600      0.15900
     0.01500     -0.13800      0.03600      0.10800      0.08400
     0.00600      0.17500      0.03100      3.27900      0.68600
     0.56500      0.75500      0.11500      5.26400      0.54500
     0.03000     -0.21500      0.04200      0.14600      0.09000
     0.07900      0.19300      0.05400      0.94900      0.18700
     0.23100      0.28500      0.06900      0.83800      0.18000
     0.03300      0.11300      0.03600      0.87600      0.27200
     0.01400      0.12300      0.04100      1.39000      0.22100
    -0.00900     -0.02000      0.03700      0.50400      0.16600
    -0.03700      0.10700      0.00900      2.99700      0.41800
     0.26600      0.32600      0.07400      1.08300      0.27000
     0.06800      0.16900      0.04800      1.00900      0.25100
     0.06400      0.18300      0.04900      0.96000      0.18100
     0.02900      0.10800      0.03900      0.75400      0.24800
     0.44800      0.57600      0.09300      3.23000      0.52900
     0.08600      0.19300      0.04200      1.46000      0.27900
     0.44900      0.73000      0.08300      6.83100      0.73800
     0.01900      0.25000      0.04400      1.24200      0.30700
    -0.01400     -0.10600      0.02800      0.37100      0.12500
     0.21200      0.10100      0.06200      0.15100      0.07300
     0.33700      0.42400      0.07800      1.64800      0.23800
     0.13500      0.26600      0.05500      1.45700      0.26400
     0.24900      0.15500      0.06000      0.88100      0.27600
     0.05000      0.00900      0.04400      0.54000      0.18100
     0.52900      0.73700      0.11100      4.15100      0.51900
     0.19600      0.29700      0.06400      1.01900      0.24300
    -0.09500      0.06400     -0.00200      4.10600      0.43600
     0.03700      0.14600      0.03800      1.00000      0.30400
     0.03400      0.17600      0.03300      2.67900      0.49200
     0.31900      0.46400      0.07200      2.20000      0.31200
     0.14500      0.13100      0.05400      0.68700      0.21600
     0.16700      0.43400      0.05900      4.24600      0.55200
     0.22800      0.27800      0.06900      0.66500      0.16200
     0.12400      0.57800      0.04700     11.65400      1.00300
     0.03300      0.05600      0.03800      0.66100      0.19100
     0.03100      0.18100      0.03400      1.22100      0.33600
     0.04300      0.09400      0.04300      0.64700      0.18300
     0.06500      0.56400      0.04500      7.48200      1.07400
    -0.04600      0.14700      0.01400      3.62700      0.85000
     0.31500      0.58700      0.07800      4.54900      0.61800
     0.09100      0.04200      0.04200      0.37200      0.13000
     0.02100      0.13100      0.03400      0.74500      0.16200
     0.46100      0.71500      0.08800      3.58100      0.44200
     0.19400      0.37500      0.05400      1.99800      0.31400
     0.10400      0.18100      0.05600      0.91700      0.21000
     0.14900      0.28500      0.06300      0.75700      0.24500
    -0.03700     -0.02300      0.02600      0.68800      0.13700
     0.04400      0.21200      0.04400      1.13700      0.31900
     0.09600      0.14400      0.05000      0.40000      0.09300
    -0.13400     -1.43800      0.00100      0.07100      0.08200
     0.21700      0.36300      0.06000      1.57800      0.24600
     0.24300      0.42200      0.07400      1.77900      0.33900
     0.19100      0.46700      0.04300      4.43100      0.80000
     0.36200      0.47700      0.08000      2.60400      0.35200
     0.09600      0.12900      0.04800      0.58000      0.14700
     0.02800      0.17600      0.03400      1.30300      0.23000
     0.06200      0.05700      0.04700      0.48500      0.13700
     0.15400      0.21800      0.06100      0.75600      0.19000
     0.38500      0.54200      0.10000      1.29000      0.24000
     0.08700      0.17800      0.04700      0.56500      0.14500
     0.59100      0.80500      0.11400      6.59400      0.74800
     0.14200      0.42100      0.04400      6.20000      0.99400
     0.02000      0.18900      0.03100      3.22000      0.53800
     0.02400      0.18700      0.03900      2.61400      0.40800
     0.20300      0.35100      0.06200      1.53200      0.28600
     0.14000      0.17000      0.05800      0.51000      0.15200
     0.02900      0.10000      0.04000      1.04000      0.27800
    -0.01700      0.18600      0.03600      1.63200      0.51000
     0.01700     -0.02300      0.03800      0.52000      0.22000
     0.05100      0.29000      0.04200      2.53900      0.29700
     0.09800      0.04500      0.04500      0.63900      0.17000
     0.71200      1.34100      0.15600     26.38500      1.12800
     0.00200      0.09500      0.03600      0.48300      0.10300
    -0.00900     -0.07200      0.01900      0.97800      0.31400
     0.15900      0.07000      0.04900      0.51900      0.11800
     0.00900      0.06700      0.03900      0.54500      0.14900
    -0.02500      0.09800      0.03100      0.88900      0.25800
     0.19300      0.19900      0.06000      0.70000      0.25300
     0.24800      0.28000      0.06900      0.73500      0.23900
    -0.01400     -0.26100      0.03800      0.18800      0.10500
     0.00200     -0.25600      0.03500      0.16500      0.09600
     0.34300      0.45900      0.06900      2.51300      0.43600
     0.25300      0.43100      0.06800      1.76400      0.35100
    -0.27500     -1.73000     -0.03000      0.11900      0.12300
     0.05500      0.24300      0.03700      1.50900      0.21000
     0.12100      0.23500      0.05400      0.83900      0.23100
    -0.07100     -0.08200      0.01300      0.75400      0.46200
     0.20800      0.54800      0.06300      5.47700      0.85200
     0.62000      0.89200      0.13100      4.70000      0.38600
    -0.06300      0.15000      0.02100      4.81200      0.81900
     0.31500      0.40400      0.08400      1.66200      0.26000
     0.00200     -0.00200      0.03500      0.64200      0.11600
     0.02400      0.05000      0.03400      0.73500      0.27100
     0.38200      0.39000      0.07400      0.96900      0.24500
    -0.00900     -0.19300      0.03200      0.13200      0.09200
     0.16700      0.19000      0.05200      0.54800      0.12800
     0.03900      0.19500      0.03900      1.09300      0.28100
     0.33200      0.49200      0.07400      2.89600      0.46700
     0.06100      0.12600      0.04300      0.55000      0.26100
    -0.00600      0.19100      0.02600      0.76000      0.19400
     0.00500      0.25400      0.03600      2.36700      0.36500
    -0.56200     -0.74800     -0.16300      0.60600      0.39700
    -0.02500      0.05700      0.03300      0.54100      0.24700
     0.28300      0.26100      0.07700      0.62900      0.10900
    -0.05200     -0.11900      0.02100      0.42600      0.14200
     0.00300      0.15200      0.03700      1.32600      0.29900
     0.63000      0.97400      0.11400     19.92700      1.21700
    -0.06600      0.16200      0.01000      4.57700      0.99200
     0.32700      0.50400      0.07200      2.75100      0.33700
     0.22600      0.32400      0.05100      2.52500      0.34900
     0.35500      0.44600      0.07900      2.46200      0.31200
     0.09700      0.02100      0.04800      0.42900      0.10300
     0.19700      0.33600      0.05500      3.15600      0.62900
     0.08100      0.29100      0.04600      1.73600      0.36900
     0.08700      0.31200      0.04700      4.98200      0.74400
    -0.00500     -0.03000      0.03400      0.34300      0.12400
     0.44200      0.46300      0.09500      1.35800      0.31000
     0.48600      0.70800      0.10400      4.97500      0.50900
     0.21400      0.30600      0.06600      1.53400      0.25200
     0.47000      0.50500      0.10800      0.91100      0.16700
     0.10900      0.13600      0.04200      1.15200      0.28500
     0.20100      0.21100      0.06400      0.48700      0.14500
     0.13300      0.12600      0.04900      0.46900      0.13100
     0.15100      0.24600      0.05500      0.89000      0.18600
     0.42800      0.41900      0.10700      1.31900      0.13900
     0.05300     -1.33200      0.04800      0.03800      0.04900
     0.02400      0.10800      0.03600      0.90400      0.21800
     0.34100      0.48300      0.06800      4.48200      0.49200
     0.04700      0.07200      0.05000      0.68700      0.18400
     0.09400      0.36400      0.04700      3.37300      0.40500
     0.11100      0.16400      0.05500      0.58100      0.14100
     0.26800      0.40300      0.06300      1.65800      0.31000
     0.03800     -0.03100      0.03800      0.24200      0.10000
     0.07300      0.14100      0.05000      0.73200      0.20100
     0.19200      0.28700      0.06100      1.03100      0.24400
    -0.01400     -0.07300      0.02600      0.91900      0.15900
     0.00900      0.06500      0.04400      0.77300      0.16700
     0.24600      0.37200      0.06200      1.97800      0.32800
    -0.01100     -0.29900      0.02400      0.14400      0.08400
     0.13600      0.28900      0.05100      1.46900      0.29300
     0.20500      0.32200      0.06300      1.57500      0.31400
     0.23900      0.26700      0.06100      0.65000      0.23100
     0.12300      0.18600      0.06200      0.56400      0.15100
     0.28600      0.35500      0.06600      2.63700      0.37600
     0.06000      0.07700      0.03400      0.49700      0.22200
     0.11600      0.34300      0.05600      3.01600      0.37900
     0.20900      0.59500      0.06500      6.29000      0.62300
     0.03900      0.10500      0.03800      0.92000      0.29400
     0.27100      0.29800      0.06700      1.26600      0.30500
     0.29800      0.37500      0.06800      2.12600      0.36700
    -0.02500     -0.02900      0.03200      0.41100      0.13900
     0.22000      0.34400      0.05600      1.84700      0.36200
     0.07900      0.33400      0.05400      3.55200      0.38100
     0.25100      0.39000      0.06500      2.87200      0.45600
     0.02600      0.10900      0.03700      0.69900      0.20800
     0.11900      0.23700      0.05500      0.99700      0.21200
     0.22400      0.47300      0.06300      3.53900      0.35900
     0.45500      0.45000      0.10100      0.55600      0.17900
     0.49300      0.69200      0.07400      5.28100      0.59100
     0.10300      0.17300      0.05200      0.46700      0.11000
     0.14200      0.42500      0.05200      3.39300      0.49800
     0.34000      0.44800      0.08300      1.49000      0.23600
     0.21400      0.70400      0.06400     13.11500      0.68000
    -0.03500     -0.00600      0.02100      0.48200      0.16000
     0.50300      0.63100      0.08700      3.35300      0.51900
     0.04800      0.13000      0.04200      0.60900      0.15000
     0.10900      0.44100      0.05500      2.70700      0.37200
    -0.00100      0.07900      0.03500      0.51600      0.16600
     0.02600      0.22600      0.03900      1.73700      0.48300
     0.07100      0.32900      0.04900      3.99400      0.52100
     0.05200      0.13800      0.03600      0.67400      0.19000
     0.27700      0.20100      0.07400      0.39800      0.13400
     0.12800      0.20500      0.07000      1.41400      0.30500
     0.02100      0.13500      0.03900      1.30800      0.26300
     0.05500     -0.12400      0.04000      0.16800      0.09500
     0.23500      0.43600      0.06600      3.53400      0.34600
     0.05300     -0.39400      0.03900      0.08400      0.06800
     0.04600      0.14100      0.04000      0.57500      0.23900
     0.08700      0.29000      0.04800      1.86400      0.30800
     0.14800      0.05600      0.05500      0.36100      0.11400
     0.14800      0.37500      0.05200      2.64000      0.42700
     0.19200      0.26500      0.06500      1.44800      0.28100
    -0.02600      0.17300      0.02100      2.75800      0.70200
     0.11800      0.25900      0.05500      1.50800      0.27300
    -0.09400     -0.50600      0.01600      0.22300      0.13800
     0.11500      0.21200      0.06100      1.50600      0.27800
    -2.06500     -2.70900     -0.39600      0.05300      0.06800
    -0.01300      0.04100      0.02900      0.45000      0.19900
     0.22600      0.26300      0.05800      1.41500      0.32700
     0.18400      0.23300      0.05100      1.11100      0.30000
    -0.02600      0.20500      0.02500      2.17400      0.25400
     0.08400      0.16000      0.05000      0.70300      0.20500
     0.00900      0.04600      0.03400      1.00900      0.37600
     0.32800      0.57000      0.06900      3.72700      0.42600
     0.13000      0.24800      0.04700      1.73200      0.30100
     0.14500      0.31000      0.05300      1.77400      0.36700
     0.34800      0.14300      0.07800      0.25600      0.10300
     0.01300     -0.00400      0.03300      0.22000      0.12500
     0.27400      0.30900      0.06700      0.99900      0.26600
    -0.03000     -0.31400      0.02800      0.10400      0.09800
     0.20200      0.18100      0.05500      1.08400      0.31300
     0.06700      0.29400      0.04500      3.32900      0.53300
     0.06200      0.16200      0.04700      0.89600      0.27400
     0.42600      0.63200      0.09000      2.43000      0.42500
     0.42600      0.68500      0.08300      4.25500      0.35700
     0.37300      0.46100      0.07700      2.60700      0.59800
    -0.07600     -0.22200      0.01800      0.96600      0.33400
    -0.05400     -0.11800      0.01600      0.40100      0.12400
     0.12800      0.24800      0.05200      2.04100      0.39700
     0.29700      0.35400      0.06900      1.11200      0.16400
     0.10800      0.21400      0.05200      1.44100      0.24200
     0.07400      0.09500      0.04300      0.68100      0.22500
     0.03100      0.04300      0.03500      0.62500      0.17700
     0.18500      0.41400      0.06100      3.35900      0.61200
     0.07100      0.08200      0.03800      0.40800      0.15200
     0.18700      0.37500      0.05800      2.28600      0.43200
     0.04000      0.14200      0.03900      1.99800      0.30800
     0.16100      0.21000      0.05200      1.27400      0.31500
     0.22300      0.36600      0.06500      2.00400      0.31000
     0.30000      0.38900      0.06700      2.76400      0.49100
     0.24600      0.28400      0.06100      0.81400      0.21500
    -0.00200      0.17600      0.03400      1.52500      0.25200
     0.36100      0.64200      0.08900      6.28100      0.62100
     0.19700      0.43700      0.06500      4.28400      0.56000
     0.14800      0.48000      0.05900      3.56700      0.35900
     0.18500      0.24600      0.05200      0.79900      0.23500
    -0.04000     -0.28400      0.03100      0.18800      0.11700
     0.01000     -0.01100      0.02900      0.33300      0.14100
     0.59400      0.78100      0.12500      5.50100      0.56100
     0.04300      0.13400      0.03800      0.84300      0.15900
     0.01000     -0.10600      0.03300      0.27200      0.11300
    -0.09900     -0.68700      0.00100      0.16800      0.17600
    -0.08200     -0.31500      0.02300      0.16900      0.10600
     0.10800      0.24400      0.05600      1.48000      0.34000
     0.29100      0.29500      0.08300      1.10100      0.23000
     0.11600      0.21800      0.05600      0.96700      0.30100
     0.02400      0.16300      0.03700      1.48300      0.19600
     0.21100      0.61600      0.06500     10.42100      0.84900
     0.00300      0.15600      0.03100      1.46400      0.39400
     0.24300      0.43900      0.07200      4.40600      0.56700
     0.23600      0.33000      0.06400      0.90700      0.29900
     0.02100      0.09200      0.03800      0.50800      0.18800
     0.02400      0.08600      0.04200      0.61700      0.21200
     0.11100      0.42600      0.05700      4.53700      0.67300
     0.24700      0.33000      0.06500      1.54600      0.24400
    -0.12800     -0.11000     -0.00400      0.50100      0.33400
     0.36500      0.39700      0.09200      0.78700      0.13000
     0.03000      0.25200      0.04100      3.70200      0.35600
     0.10200      0.12600      0.05400      0.61400      0.17400
     0.29400      0.32500      0.07500      0.89900      0.25300
