       WC_TA        RE_TA      EBIT_TA     MVE_BVTD         S_TA       Rating
     0.01300      0.10400      0.03600      0.44700      0.14200           BB
     0.23200      0.33500      0.06200      1.96900      0.28100            A
     0.31100      0.36700      0.07400      1.93500      0.36600            A
     0.19400      0.26300      0.06200      1.01700      0.22800          BBB
     0.12100      0.41300      0.05700      3.64700      0.46600          AAA
    -0.11700     -0.79900      0.01000      0.17900      0.08200          CCC
     0.08700      0.15800      0.04900      0.81600      0.32400          BBB
     0.00500      0.18100      0.03400      2.59700      0.38800           AA
     0.47000      0.75200      0.07000     11.59600      1.12000          AAA
     0.11000      0.33700      0.04500      3.83500      0.81200          AAA
    -0.10800     -0.61500      0.01700      0.14500      0.10400          CCC
     0.00800      0.12100      0.03000      2.10900      0.44600            A
     0.03100      0.04500      0.03900      0.81600      0.30100           BB
    -0.01500      0.17800      0.02100      3.08700      0.68500            A
    -0.09700     -0.00400      0.02400      0.67300      0.17800           BB
     0.51100      0.86900      0.10600      8.53800      0.73200          AAA
     0.23700      0.19800      0.07200      0.87600      0.20500           BB
     0.22300      0.25300      0.06300      0.92500      0.24600          BBB
     0.30200      0.53600      0.06100      1.58600      0.30300            A
     0.26200      0.42900      0.06400      2.35500      0.29200           AA
     0.25100      0.28300      0.06300      0.94000      0.28000          BBB
     0.04800      0.24700      0.04200      2.94100      0.49300           AA
     0.10100      0.17300      0.05000      0.68600      0.17100          BBB
     0.26500      0.26900      0.07800      0.79500      0.27700           BB
     0.16200      0.40700      0.06700      2.27400      0.41000           AA
     0.19800      0.23900      0.06200      0.71400      0.13200          BBB
     0.13100      0.13900      0.05000      0.34600      0.09800           BB
     0.28600      0.21900      0.07500      0.44200      0.13500           BB
     0.13400      0.15800      0.05300      0.74300      0.17400          BBB
     0.27900      0.45000      0.06800      2.74400      0.40100           AA
     0.20200      0.46000      0.06400      3.68500      0.68200          AAA
    -0.03200      0.08400      0.02100      0.94800      0.26900          BBB
     0.30600      0.48700      0.07500      2.18500      0.24900           AA
     0.29500      0.34600      0.07000      0.98100      0.24700          BBB
     0.01900      0.00900      0.04200      0.25700      0.11900            B
     0.14500      0.23500      0.05700      2.63200      0.30000           AA
     0.30700      0.46100      0.07900      1.84200      0.28400            A
     0.23800      0.18100      0.07300      0.71200      0.18900           BB
     0.06200      0.15400      0.04600      0.49100      0.13200           BB
     0.39900      0.50600      0.09600      3.39300      0.47700          AAA
     0.32100      0.43900      0.06800      2.01800      0.41000            A
     0.06800      0.46300      0.04900      3.12900      0.55900           AA
     0.09800      0.25900      0.04800      2.48800      0.45900           AA
     0.18500      0.20800      0.05700      0.92600      0.19400          BBB
     0.27700      0.30700      0.06600      0.71900      0.13700          BBB
     0.36500      0.62200      0.08900      4.13200      0.44300          AAA
    -0.16800     -1.86000     -0.01200      0.04500      0.05100          CCC
    -0.03000     -0.06400      0.02500      0.66700      0.20200           BB
     0.23400      0.46700      0.06800      2.52500      0.33800           AA
     0.15700      0.32500      0.05800      1.43200      0.24100            A
     0.33100      0.25900      0.06600      0.58500      0.11200          BBB
     0.14000      0.28800      0.05600      1.64400      0.27000            A
     0.03800      0.40300      0.04500      3.92000      0.62200          AAA
     0.16800      0.28300      0.05900      1.70500      0.31500          BBB
    -0.14000     -0.24200      0.00300      0.36700      0.12900           BB
     0.17100      0.12000      0.05600      0.38200      0.09300           BB
     0.03800     -0.03300      0.03300      0.33400      0.10300           BB
     0.09800      0.16800      0.04700      0.70700      0.19500           BB
     0.25300      0.30300      0.06800      0.69500      0.23600          BBB
    -0.01100      0.32400      0.02400      1.88000      0.27300            A
     0.09600      0.20700      0.04700      1.28900      0.26900          BBB
     0.09500      0.22300      0.05400      0.95200      0.24800          BBB
     0.11200      0.14000      0.04700      0.67100      0.10300          BBB
     0.14400      0.29700      0.05500      1.48300      0.35700            A
